model,scenario_id,scenario_name,image_name,run_idx,ttft_s,throughput_tps,total_time_s,output_tokens,vram_mb,response_preview
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,P5R_01.png,2,2.0976,136.65,5.8445,512,11095,好的，这是一张来自游戏《女神异闻录5》（Persona 5）的战斗场景截图，以下是详细的中文描述：  ### 1. 核心角色与战斗状态  - **主角（玩家控制）**：画面中央偏左的黑衣角色是玩家操控的主角。他/她有着黑色的短发，身穿一件深色的长款外套，外套上有一个发光的蓝色圆形标志。他/她正手持一把长剑，剑尖指向前方，似乎正在准备攻击或施放技能。在角色的左上角，有一个“Shisaa”（希萨）的名
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,P5R_01.png,3,2.0799,138.35,5.7807,512,11094,好的，这是一张来自游戏《女神异闻录5》（Persona 5）的战斗场景截图，以下是详细的中文描述：  ### 1. 核心角色与战斗状态  - **主角（玩家控制）**：画面中央偏左的黑衣角色是玩家操控的主角。他/她有着黑色的短发，身穿一件深色的长款外套，外套上有一个发光的蓝色圆形标志。他/她正手持一把长剑，剑尖指向前方，似乎正在准备攻击或施放技能。在角色的左上角，有一个“Shisaa”（希萨）的名
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,SuperMarioBros_01.png,1,2.0846,147.68,5.5515,512,11150,好的，这是一张《超级马里奥兄弟》游戏的截图，以下是对其所有元素的详细中文描述。  ---  ### 1. 整体构图与视觉风格  这张图片是经典游戏《超级马里奥兄弟》的标题画面，采用了标志性的复古像素艺术风格。画面构图非常清晰，元素分布均衡，整体呈现出一种简洁而充满活力的视觉效果。画面的主体是中央的标题文字，周围环绕着游戏的标志性元素。  ### 2. 核心元素  #### 2.1 标题文字 - *
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,SuperMarioBros_01.png,2,2.0863,146.66,5.5773,512,11195,好的，这是一张《超级马里奥兄弟》游戏的截图，以下是对其所有元素的详细中文描述。  ---  ### 1. 整体构图与视觉风格  这张图片是经典游戏《超级马里奥兄弟》的标题画面，采用了标志性的复古像素艺术风格。画面构图非常清晰，元素分布均衡，整体呈现出一种简洁而充满活力的视觉效果。画面的主体是中央的标题文字，周围环绕着游戏的标志性元素。  ### 2. 核心元素  #### 2.1 标题文字 - *
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,SuperMarioBros_01.png,3,2.0848,147.63,5.5529,512,11258,好的，这是一张《超级马里奥兄弟》游戏的截图，以下是对其所有元素的详细中文描述。  ---  ### 1. 整体构图与视觉风格  这张图片是经典游戏《超级马里奥兄弟》的标题画面，采用了标志性的复古像素艺术风格。画面构图非常清晰，元素分布均衡，整体呈现出一种简洁而充满活力的视觉效果。画面的主体是中央的标题文字，周围环绕着游戏的标志性元素。  ### 2. 核心元素  #### 2.1 标题文字 - *
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,Cyberpunk-2077_01.png,1,2.1152,146.15,5.6185,512,11160,"```json {   ""objects"": [     {       ""bbox_2d"": [400, 600, 600, 798],       ""label"": ""car""     },     {       ""bbox_2d"": [600, 540, 650, 680],       ""label"": ""person""     },     {       ""bbox_2d"": [35"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,Cyberpunk-2077_01.png,2,2.1207,132.13,5.9956,512,11136,"```json {   ""objects"": [     {       ""bbox_2d"": [400, 600, 600, 798],       ""label"": ""car""     },     {       ""bbox_2d"": [600, 540, 650, 680],       ""label"": ""person""     },     {       ""bbox_2d"": [35"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,Cyberpunk-2077_01.png,3,2.1158,131.6,6.0064,512,11111,"```json {   ""objects"": [     {       ""bbox_2d"": [400, 600, 600, 798],       ""label"": ""car""     },     {       ""bbox_2d"": [600, 540, 650, 680],       ""label"": ""person""     },     {       ""bbox_2d"": [35"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,Genshin-Impact_01.png,1,2.0865,135.24,3.8537,239,11115,"```json {   ""objects"": [     {       ""bbox_2d"": [10, 0, 925, 838],       ""label"": ""龙""     },     {       ""bbox_2d"": [583, 607, 695, 999],       ""label"": ""角色""     },     {       ""bbox_2d"": [675, 644, 7"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,Genshin-Impact_01.png,2,2.0839,141.29,3.7754,239,11111,"```json {   ""objects"": [     {       ""bbox_2d"": [10, 0, 925, 838],       ""label"": ""龙""     },     {       ""bbox_2d"": [583, 607, 695, 999],       ""label"": ""角色""     },     {       ""bbox_2d"": [675, 644, 7"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,Genshin-Impact_01.png,3,2.0969,135.01,3.8671,239,11111,"```json {   ""objects"": [     {       ""bbox_2d"": [10, 0, 925, 838],       ""label"": ""龙""     },     {       ""bbox_2d"": [583, 607, 695, 999],       ""label"": ""角色""     },     {       ""bbox_2d"": [675, 644, 7"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,Minecraft_01.png,1,2.1364,129.23,6.0982,512,11107,"```json {   ""objects"": [     {       ""bbox_2d"": [388, 217, 720, 630],       ""label"": ""城堡""     },     {       ""bbox_2d"": [645, 792, 840, 999],       ""label"": ""玩家""     },     {       ""bbox_2d"": [114, 77"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,Minecraft_01.png,2,2.1441,134.07,5.963,512,11107,"```json {   ""objects"": [     {       ""bbox_2d"": [388, 217, 720, 630],       ""label"": ""城堡""     },     {       ""bbox_2d"": [645, 792, 840, 999],       ""label"": ""玩家""     },     {       ""bbox_2d"": [114, 77"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,Minecraft_01.png,3,2.1348,134.0,5.9558,512,11107,"```json {   ""objects"": [     {       ""bbox_2d"": [388, 217, 720, 630],       ""label"": ""城堡""     },     {       ""bbox_2d"": [645, 792, 840, 999],       ""label"": ""玩家""     },     {       ""bbox_2d"": [114, 77"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,P5R_01.png,1,2.0906,137.23,5.8215,512,11111,"```json {   ""objects"": [     {       ""bbox_2d"": [200, 415, 320, 845],       ""label"": ""角色""     },     {       ""bbox_2d"": [10, 375, 110, 700],       ""label"": ""角色""     },     {       ""bbox_2d"": [870, 475"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,P5R_01.png,2,2.0889,137.82,5.8039,512,11103,"```json {   ""objects"": [     {       ""bbox_2d"": [200, 415, 320, 845],       ""label"": ""角色""     },     {       ""bbox_2d"": [10, 375, 110, 700],       ""label"": ""角色""     },     {       ""bbox_2d"": [870, 475"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,P5R_01.png,3,2.0808,136.57,5.8299,512,11104,"```json {   ""objects"": [     {       ""bbox_2d"": [200, 415, 320, 845],       ""label"": ""角色""     },     {       ""bbox_2d"": [10, 375, 110, 700],       ""label"": ""角色""     },     {       ""bbox_2d"": [870, 475"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,SuperMarioBros_01.png,1,2.1025,133.28,5.9441,512,11084,"```json {   ""objects"": [     {       ""bbox_2d"": [305, 745, 345, 830],       ""label"": ""角色""     },     {       ""bbox_2d"": [775, 745, 815, 830],       ""label"": ""角色""     },     {       ""bbox_2d"": [432, 50"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,SuperMarioBros_01.png,2,2.097,136.76,5.8409,512,11080,"```json {   ""objects"": [     {       ""bbox_2d"": [305, 745, 345, 830],       ""label"": ""角色""     },     {       ""bbox_2d"": [775, 745, 815, 830],       ""label"": ""角色""     },     {       ""bbox_2d"": [432, 50"
Qwen/Qwen3-VL-2B-Instruct,object_detection,JSON 物体检测,SuperMarioBros_01.png,3,2.081,134.27,5.8941,512,11084,"```json {   ""objects"": [     {       ""bbox_2d"": [305, 745, 345, 830],       ""label"": ""角色""     },     {       ""bbox_2d"": [775, 745, 815, 830],       ""label"": ""角色""     },     {       ""bbox_2d"": [432, 50"
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,Cyberpunk-2077_01.png,1,2.1087,109.4,2.2184,12,11084,1) 动作   2) 探索
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,Cyberpunk-2077_01.png,2,2.1139,99.84,2.2341,12,11080,1) 动作   2) 探索
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,Cyberpunk-2077_01.png,3,2.1184,77.6,2.273,12,11084,1) 动作   2) 探索
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,Genshin-Impact_01.png,1,2.0874,102.08,2.1853,10,11080,1) RPG 2) 战斗
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,Genshin-Impact_01.png,2,2.0917,84.53,2.2101,10,11080,1) RPG 2) 战斗
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,Genshin-Impact_01.png,3,2.0927,110.88,2.1829,10,11080,1) RPG 2) 战斗
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,Minecraft_01.png,1,2.1385,99.45,2.2592,12,11065,1) 战斗 2) 探索
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,Minecraft_01.png,2,2.1509,64.5,2.3369,12,11080,1) 战斗 2) 探索
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,Minecraft_01.png,3,2.1447,89.97,2.2781,12,11084,1) 战斗 2) 探索
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,P5R_01.png,1,2.0848,113.53,2.1905,12,11084,1) 动作   2) 战斗
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,P5R_01.png,2,2.09,86.17,2.2292,12,11084,1) 动作   2) 战斗
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,P5R_01.png,3,2.0821,108.41,2.1928,12,11080,1) 动作   2) 战斗
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,SuperMarioBros_01.png,1,2.0879,105.44,2.1828,10,11079,1) RPG 2) 探索
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,SuperMarioBros_01.png,2,2.0906,86.92,2.2056,10,11083,1) RPG 2) 探索
Qwen/Qwen3-VL-2B-Instruct,scene_classification,场景分类,SuperMarioBros_01.png,3,2.0888,104.83,2.1842,10,11079,1) RPG 2) 探索
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,Cyberpunk-2077_01.png,1,2.1019,133.29,4.0225,256,11079,根据这张游戏截图，我们可以进行如下分析：  - **角色姿态与朝向**：画面中，角色（玩家）正驾驶着一辆黑色的未来派跑车，从后方视角进行拍摄。车辆正沿着一条弯曲的高架道路行驶，车尾的橙色尾灯和排气管在阳光下清晰可见。车辆的朝向是向前的，沿着道路的曲线前进。角色的视角是第一人称，因此我们看到的是车辆的后部和前方的景象。  - **与环境的交互**：角色正在与环境进行互动。车辆正在行驶在一条高架道路上
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,Cyberpunk-2077_01.png,2,2.1079,132.83,4.0351,256,11079,根据这张游戏截图，我们可以进行如下分析：  - **角色姿态与朝向**：画面中，角色（玩家）正驾驶着一辆黑色的未来派跑车，从后方视角进行拍摄。车辆正沿着一条弯曲的高架道路行驶，车尾的橙色尾灯和排气管在阳光下清晰可见。车辆的朝向是向前的，沿着道路的曲线前进。角色的视角是第一人称，因此我们看到的是车辆的后部和前方的景象。  - **与环境的交互**：角色正在与环境进行互动。车辆正在行驶在一条高架道路上
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,Cyberpunk-2077_01.png,3,2.1156,134.37,4.0208,256,11079,根据这张游戏截图，我们可以进行如下分析：  - **角色姿态与朝向**：画面中，角色（玩家）正驾驶着一辆黑色的未来派跑车，从后方视角进行拍摄。车辆正沿着一条弯曲的高架道路行驶，车尾的橙色尾灯和排气管在阳光下清晰可见。车辆的朝向是向前的，沿着道路的曲线前进。角色的视角是第一人称，因此我们看到的是车辆的后部和前方的景象。  - **与环境的交互**：角色正在与环境进行互动。车辆正在行驶在一条高架道路上
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,Genshin-Impact_01.png,1,2.0842,137.81,3.9419,256,11129,好的，根据这张游戏截图，我将对角色的行动进行详细分析。  ---  ### 角色行为分析  这张截图描绘了一个充满动感的战斗场景，角色们正与一只巨大的、发光的蓝色巨龙进行对抗。整个画面充满了紧张感和视觉冲击力。  #### 1. 角色姿态与朝向  - **角色姿态**：所有角色都处于一个高度警觉和准备战斗的姿势。他们并非静止，而是以一种动态的、充满张力的姿态站立或移动。 - **朝向**：所有角色
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,Genshin-Impact_01.png,2,2.0881,148.7,3.8097,256,11223,好的，根据这张游戏截图，我将对角色的行动进行详细分析。  ---  ### 角色行为分析  这张截图描绘了一个充满动感的战斗场景，角色们正与一只巨大的、发光的蓝色巨龙进行对抗。整个画面充满了紧张感和视觉冲击力。  #### 1. 角色姿态与朝向  - **角色姿态**：所有角色都处于一个高度警觉和准备战斗的姿势。他们并非静止，而是以一种动态的、充满张力的姿态站立或移动。 - **朝向**：所有角色
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,Genshin-Impact_01.png,3,2.0831,144.63,3.8531,256,11233,好的，根据这张游戏截图，我将对角色的行动进行详细分析。  ---  ### 角色行为分析  这张截图描绘了一个充满动感的战斗场景，角色们正与一只巨大的、发光的蓝色巨龙进行对抗。整个画面充满了紧张感和视觉冲击力。  #### 1. 角色姿态与朝向  - **角色姿态**：所有角色都处于一个高度警觉和准备战斗的姿势。他们并非静止，而是以一种动态的、充满张力的姿态站立或移动。 - **朝向**：所有角色
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,Minecraft_01.png,1,2.1284,134.11,4.0374,256,11401,根据您提供的游戏截图，我们可以对角色的当前状态和行为进行详细分析。  ### 角色姿态与朝向  - **姿态**：角色处于站立姿势，身体直立，双脚稳稳地踩在草地上。从其身体的轮廓和视角来看，角色的重心稳定，没有明显的晃动或倾斜。 - **朝向**：角色的朝向是正对前方的。其视线正对远处的城堡，这表明角色正在观察或准备对城堡进行某种操作。  ### 与环境的交互  - **环境**：场景是一个典型的
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,Minecraft_01.png,2,2.127,136.43,4.0034,256,11394,根据您提供的游戏截图，我们可以对角色的当前状态和行为进行详细分析。  ### 角色姿态与朝向  - **姿态**：角色处于站立姿势，身体直立，双脚稳稳地踩在草地上。从其身体的轮廓和视角来看，角色的重心稳定，没有明显的晃动或倾斜。 - **朝向**：角色的朝向是正对前方的。其视线正对远处的城堡，这表明角色正在观察或准备对城堡进行某种操作。  ### 与环境的交互  - **环境**：场景是一个典型的
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,Minecraft_01.png,3,2.1384,132.25,4.0741,256,11229,根据您提供的游戏截图，我们可以对角色的当前状态和行为进行详细分析。  ### 角色姿态与朝向  - **姿态**：角色处于站立姿势，身体直立，双脚稳稳地踩在草地上。从其身体的轮廓和视角来看，角色的重心稳定，没有明显的晃动或倾斜。 - **朝向**：角色的朝向是正对前方的。其视线正对远处的城堡，这表明角色正在观察或准备对城堡进行某种操作。  ### 与环境的交互  - **环境**：场景是一个典型的
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,P5R_01.png,1,2.0789,139.01,3.9205,256,11095,根据这张游戏截图，我们可以进行如下分析：  - **角色姿态与朝向**：画面中央的主角（Shisaa）身着黑色长袍，姿态为站立，身体略微前倾，头部正对前方的敌人。他的右手持有一把刀，刀尖朝下，似乎正准备进行攻击或防御。他的身体姿态和朝向表明他正处于战斗准备状态。  - **与环境的交互**：角色所处的环境是一个装饰华丽的室内空间，有蓝色的地板、墙壁上的画框和天花板上的灯光。角色的周围有多个敌人，包
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,P5R_01.png,2,2.0982,137.57,3.959,256,11110,根据这张游戏截图，我们可以进行如下分析：  - **角色姿态与朝向**：画面中央的主角（Shisaa）身着黑色长袍，姿态为站立，身体略微前倾，头部正对前方的敌人。他的右手持有一把刀，刀尖朝下，似乎正准备进行攻击或防御。他的身体姿态和朝向表明他正处于战斗准备状态。  - **与环境的交互**：角色所处的环境是一个装饰华丽的室内空间，有蓝色的地板、墙壁上的画框和天花板上的灯光。角色的周围有多个敌人，包
Qwen/Qwen3-VL-2B-Instruct,action_analysis,角色动作分析,P5R_01.png,3,2.0806,140.07,3.9083,256,11114,根据这张游戏截图，我们可以进行如下分析：  - **角色姿态与朝向**：画面中央的主角（Shisaa）身着黑色长袍，姿态为站立，身体略微前倾，头部正对前方的敌人。他的右手持有一把刀，刀尖朝下，似乎正准备进行攻击或防御。他的身体姿态和朝向表明他正处于战斗准备状态。  - **与环境的交互**：角色所处的环境是一个装饰华丽的室内空间，有蓝色的地板、墙壁上的画框和天花板上的灯光。角色的周围有多个敌人，包
